"","Var1","Freq"
"1","1",1
"2","10",1
"3","100",3
"4","1000",8
"5","10s",2
"6","10th",1
"7","11",4
"8","1100",1
"9","117",2
"10","120",2
"11","12s",1
"12","12th",1
"13","14",1
"14","14,000",1
"15","140",1
"16","15",4
"17","150",1
"18","16a",1
"19","17",1
"20","1846",1
"21","1858",1
"22","1869",3
"23","1870",1
"24","1878",1
"25","1883",2
"26","1884",1
"27","1887",1
"28","1888",1
"29","1890",2
"30","19th",1
"31","1s",1
"32","2",4
"33","2,000",1
"34","200",1
"35","220",1
"36","221b",1
"37","226",1
"38","22nd",3
"39","249",1
"40","25",1
"41","250",1
"42","26",1
"43","26s",1
"44","27",2
"45","270",1
"46","2nd",1
"47","2s",2
"48","30",4
"49","30,000",2
"50","31",1
"51","35",1
"52","3rd",3
"53","4",7
"54","40",1
"55","4000",1
"56","421",1
"57","4700",1
"58","4d",1
"59","4th",2
"60","5",2
"61","50,000",1
"62","6",1
"63","60",2
"64","6d",3
"65","7",1
"66","700",1
"67","750",1
"68","77",1
"69","7s",1
"70","7th",1
"71","82",1
"72","83",2
"73","84",2
"74","85",3
"75","87",1
"76","88",1
"77","89",2
"78","8d",1
"79","8s",1
"80","9",1
"81","90",1
"82","9th",2
"83","a",2641
"84","abandoned",3
"85","abandons",1
"86","abbots",1
"87","aberdeen",2
"88","abhorrent",1
"89","abiding",1
"90","abjure",1
"91","able",31
"92","abnormal",1
"93","abnormally",1
"94","abode",1
"95","abominable",1
"96","abomination",1
"97","abound",1
"98","about",168
"99","above",27
"100","abroad",2
"101","abrupt",1
"102","abruptly",2
"103","absence",4
"104","absent",1
"105","absolute",15
"106","absolutely",27
"107","absolved",1
"108","absorb",1
"109","absorbed",1
"110","absorbing",1
"111","abstracted",4
"112","absurd",4
"113","absurdly",2
"114","abuse",1
"115","abusive",1
"116","abutted",2
"117","accent",2
"118","accept",4
"119","acceptance",1
"120","accepted",2
"121","accessory",1
"122","accident",5
"123","accidental",1
"124","accidents",1
"125","accommodate",1
"126","accompanied",1
"127","accompany",1
"128","accompanying",1
"129","accompli",1
"130","accomplice",1
"131","accomplice's",1
"132","accomplish",1
"133","accomplished",2
"134","accomplishment",1
"135","accomplishments",2
"136","according",2
"137","account",20
"138","accountant",1
"139","accounts",3
"140","accumulated",1
"141","accumulation",1
"142","accurate",1
"143","accurately",1
"144","accused",4
"145","accuser",1
"146","accustomed",7
"147","acetones",1
"148","achieved",1
"149","acid",2
"150","acknowledge",1
"151","acknowledges",1
"152","acquaintance",11
"153","acquiesce",1
"154","acquire",1
"155","acquired",1
"156","acquirement",1
"157","acquitted",1
"158","acres",2
"159","across",37
"160","act",6
"161","acted",6
"162","acting",4
"163","action",12
"164","actionable",2
"165","actions",4
"166","active",2
"167","activity",1
"168","actor",2
"169","actress",1
"170","acts",1
"171","actual",1
"172","actually",7
"173","acute",3
"174","adapt",1
"175","adapted",1
"176","add",3
"177","added",3
"178","adder",1
"179","addicted",1
"180","adding",1
"181","addition",2
"182","address",25
"183","addressed",2
"184","addressing",2
"185","adds",1
"186","adhesive",1
"187","adjective",1
"188","adjusted",2
"189","adler",16
"190","administration",1
"191","admirable",3
"192","admirably",4
"193","admiration",2
"194","admire",2
"195","admirers",1
"196","admiring",2
"197","admit",2
"198","admitted",1
"199","ado",1
"200","adopted",2
"201","advance",6
"202","advanced",2
"203","advancing",1
"204","advantage",6
"205","advantages",4
"206","adventure",25
"207","adventures",6
"208","adventuress",1
"209","advertise",2
"210","advertised",3
"211","advertisement",20
"212","advertisements",1
"213","advertising",2
"214","advice",19
"215","advise",7
"216","advised",1
"217","adviser",2
"218","advocate",1
"219","affair",14
"220","affaire",1
"221","affairs",10
"222","affect",2
"223","affectation",1
"224","affected",2
"225","affecting",1
"226","affection",2
"227","affectionate",2
"228","affections",1
"229","affliction",1
"230","afford",2
"231","afforded",1
"232","afghan",1
"233","afghanistan",1
"234","afraid",21
"235","after",99
"236","afternoon",17
"237","afterwards",18
"238","again",69
"239","against",52
"240","age",14
"241","aged",4
"242","agency",4
"243","agent",8
"244","agitated",2
"245","agitation",5
"246","ago",28
"247","agonies",1
"248","agony",3
"249","agra",1
"250","agree",2
"251","agrees",1
"252","agricultural",2
"253","ah",32
"254","aid",7
"255","aided",1
"256","air",27
"257","aisle",1
"258","ajar",1
"259","akimbo",1
"260","akin",3
"261","alarm",9
"262","alas",3
"263","albert",3
"264","aldersgate",1
"265","aldershot",1
"266","alert",1
"267","alexander",1
"268","alias",1
"269","alice",11
"270","alice's",1
"271","alicia",1
"272","alike",1
"273","alive",12
"274","all",392
"275","alleging",1
"276","allegro",2
"277","alley",2
"278","alleys",1
"279","alliance",1
"280","allied",1
"281","allow",7
"282","allowance",3
"283","allowed",9
"284","allowing",1
"285","allows",1
"286","allude",1
"287","alluded",1
"288","allusion",4
"289","allusions",1
"290","ally",1
"291","almost",18
"292","alone",26
"293","along",18
"294","aloud",2
"295","aloysius",5
"296","alpha",7
"297","already",47
"298","also",52
"299","altar",6
"300","alter",1
"301","alterations",1
"302","altered",1
"303","alternately",2
"304","alternating",1
"305","alternation",1
"306","although",10
"307","altogether",4
"308","always",58
"309","am",185
"310","amalgam",1
"311","amateur",2
"312","amazement",1
"313","amazing",1
"314","ambition",1
"315","ambitious",1
"316","america",10
"317","american",11
"318","americans",1
"319","amethyst",1
"320","amiable",6
"321","amid",14
"322","amiss",2
"323","among",35
"324","amount",6
"325","amoy",1
"326","ample",2
"327","amplifying",1
"328","amply",1
"329","amuse",1
"330","amused",2
"331","amusement",2
"332","amusing",2
"333","an",332
"334","analysis",4
"335","analytical",2
"336","anatomy",1
"337","ancestral",1
"338","ancient",1
"339","and",3018
"340","anderson",1
"341","andover",1
"342","angel",20
"343","angel's",1
"344","anger",9
"345","angle",7
"346","angry",10
"347","animal",4
"348","animals",1
"349","animated",2
"350","ankles",1
"351","announce",2
"352","announced",5
"353","announcement",3
"354","annoyance",3
"355","annoyed",2
"356","annual",1
"357","anoints",1
"358","another",42
"359","anstruther",1
"360","answer",15
"361","answered",56
"362","answering",4
"363","answers",2
"364","antagonist",1
"365","antecedents",1
"366","anteroom",1
"367","antics",1
"368","anxiety",5
"369","anxious",9
"370","anxiously",1
"371","any",128
"372","anybody",1
"373","anyhow",3
"374","anyone",24
"375","anything",51
"376","anywhere",2
"377","apache",1
"378","apaches",1
"379","apart",2
"380","apartment",4
"381","aperture",3
"382","apiece",4
"383","apologise",1
"384","apology",7
"385","apparelled",1
"386","apparent",1
"387","apparently",5
"388","apparition",1
"389","appeal",1
"390","appeals",1
"391","appear",8
"392","appearance",16
"393","appeared",27
"394","appears",17
"395","applicant",1
"396","apply",7
"397","applying",2
"398","appointment",9
"399","apprenticed",1
"400","approach",4
"401","approached",7
"402","approaching",4
"403","appropriate",1
"404","approvingly",1
"405","april",2
"406","aproned",1
"407","apt",1
"408","aquiline",2
"409","arabian",1
"410","arat",1
"411","arc",1
"412","archery",1
"413","archie",1
"414","architects",1
"415","architecture",1
"416","arduous",1
"417","are",335
"418","area",1
"419","argue",1
"420","argument",2
"421","arguments",1
"422","aright",1
"423","arise",1
"424","aristocratic",3
"425","arizona",1
"426","arm",11
"427","arm's",1
"428","armchair",15
"429","armchairs",1
"430","armed",2
"431","armitage",3
"432","armour",1
"433","arms",15
"434","army",2
"435","arnsworth",1
"436","around",3
"437","aroused",3
"438","arrange",1
"439","arranged",5
"440","arrangements",3
"441","array",1
"442","arrest",5
"443","arrested",9
"444","arresting",1
"445","arrival",2
"446","arrive",2
"447","arrived",16
"448","arrows",1
"449","art",5
"450","arteries",1
"451","arthur",18
"452","arthur's",3
"453","article",4
"454","articles",4
"455","artificial",1
"456","artillery",1
"457","artist",1
"458","artistic",2
"459","as",852
"460","ascend",2
"461","ascended",3
"462","ascertain",1
"463","ascertained",1
"464","ascertaining",3
"465","ash",2
"466","ashamed",5
"467","ashen",2
"468","ashes",4
"469","aside",7
"470","ask",35
"471","askance",1
"472","asked",88
"473","asking",6
"474","asks",1
"475","asleep",5
"476","aspect",2
"477","aspired",1
"478","assailants",1
"479","assault",1
"480","assaulted",1
"481","assembled",1
"482","assert",1
"483","asserted",1
"484","assertion",1
"485","assist",2
"486","assistance",10
"487","assistant",14
"488","assistant's",1
"489","assistants",1
"490","assisted",1
"491","assisting",2
"492","assizes",7
"493","associate",4
"494","associated",4
"495","association",1
"496","assume",2
"497","assumed",2
"498","assurance",1
"499","assure",7
"500","assured",5
"501","assuredly",1
"502","assures",1
"503","assuring",1
"504","astir",1
"505","astonished",2
"506","astonishment",10
"507","astrakhan",1
"508","astronomy",1
"509","astute",1
"510","astuteness",1
"511","asylum",1
"512","at",769
"513","ate",2
"514","atkinson",1
"515","atlantic",2
"516","atmosphere",1
"517","atone",1
"518","attached",2
"519","attack",1
"520","attacked",3
"521","attain",2
"522","attained",1
"523","attainments",1
"524","attempt",10
"525","attempted",3
"526","attempting",1
"527","attempts",5
"528","attend",3
"529","attendant",3
"530","attended",1
"531","attention",24
"532","attentions",3
"533","attic",4
"534","attica",1
"535","attics",1
"536","attired",1
"537","attitude",2
"538","attract",1
"539","attracted",5
"540","attractions",1
"541","auckland",1
"542","audible",1
"543","august",1
"544","augustine",1
"545","aunt",2
"546","aunt's",1
"547","australia",2
"548","australian",3
"549","australians",1
"550","authenticity",1
"551","authoritative",1
"552","authorities",3
"553","authority",1
"554","autumn",1
"555","autumnal",2
"556","avail",1
"557","avenue",6
"558","average",3
"559","averse",5
"560","aversion",2
"561","avert",3
"562","averted",1
"563","avoid",3
"564","avoided",2
"565","avoiding",1
"566","await",1
"567","awaited",1
"568","awaiting",1
"569","awake",4
"570","awakened",3
"571","aware",10
"572","away",106
"573","awful",3
"574","awkward",3
"575","awoke",1
"576","axiom",1
"577","ay",2
"578","azure",1
"579","b",5
"580","b's",1
"581","baboon",4
"582","baby",2
"583","bachelor",8
"584","bachelors",1
"585","back",139
"586","backed",4
"587","backgammon",1
"588","background",1
"589","backward",7
"590","backwater",2
"591","backwater's",1
"592","bad",14
"593","bade",2
"594","badge",1
"595","badly",2
"596","baffled",3
"597","bag",10
"598","baggy",2
"599","bags",1
"600","baits",1
"601","baker",42
"602","bakers",2
"603","balance",1
"604","balanced",1
"605","balancing",2
"606","bald",2
"607","baleful",1
"608","ball",5
"609","ballarat",6
"610","balls",1
"611","balmoral",4
"612","balustraded",1
"613","balzac",1
"614","band",15
"615","bandage",1
"616","bandaged",1
"617","bandages",1
"618","bands",2
"619","bandy",1
"620","bang",2
"621","banged",1
"622","bank",14
"623","banker",10
"624","banker's",2
"625","bankers",1
"626","banking",3
"627","banks",2
"628","bar",10
