"","gutenberg_id","oraciones"
"1",1661,"the adventures of sherlock holmes  by  sir arthur conan doyle       i."
"2",1661,"a scandal in bohemia   ii."
"3",1661,"the red-headed league  iii."
"4",1661,"a case of identity   iv."
"5",1661,"the boscombe valley mystery    v."
"6",1661,"the five orange pips   vi."
"7",1661,"the man with the twisted lip  vii."
"8",1661,"the adventure of the blue carbuncle viii."
"9",1661,"the adventure of the speckled band   ix."
"10",1661,"the adventure of the engineer's thumb    x."
"11",1661,"the adventure of the noble bachelor   xi."
"12",1661,"the adventure of the beryl coronet  xii."
"13",1661,"the adventure of the copper beeches     adventure i."
"14",1661,"a scandal in bohemia  i."
"15",1661,"to sherlock holmes she is always the woman."
"16",1661,"i have seldom heard him mention her under any other name."
"17",1661,"in his eyes she eclipses and predominates the whole of her sex."
"18",1661,"it was not that he felt any emotion akin to love for irene adler."
"19",1661,"all emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind."
"20",1661,"he was, i take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position."
"21",1661,"he never spoke of the softer passions, save with a gibe and a sneer."
"22",1661,"they were admirable things for the observer--excellent for drawing the veil from men's motives and actions."
"23",1661,"but for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results."
"24",1661,"grit in a sensitive instrument, or a crack in one of his own high-power lenses, would not be more disturbing than a strong emotion in a nature such as his."
"25",1661,"and yet there was but one woman to him, and that woman was the late irene adler, of dubious and questionable memory."
"26",1661,"i had seen little of holmes lately."
"27",1661,"my marriage had drifted us away from each other."
"28",1661,"my own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while holmes, who loathed every form of society with his whole bohemian soul, remained in our lodgings in baker street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature."
"29",1661,"he was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police."
"30",1661,"from time to time i heard some vague account of his doings: of his summons to odessa in the case of the trepoff murder, of his clearing up of the singular tragedy of the atkinson brothers at trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of holland."
"31",1661,"beyond these signs of his activity, however, which i merely shared with all the readers of the daily press, i knew little of my former friend and companion."
"32",1661,"one night--it was on the twentieth of march, 1888--i was returning from a journey to a patient (for i had now returned to civil practice), when my way led me through baker street."
"33",1661,"as i passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the study in scarlet, i was seized with a keen desire to see holmes again, and to know how he was employing his extraordinary powers."
"34",1661,"his rooms were brilliantly lit, and, even as i looked up, i saw his tall, spare figure pass twice in a dark silhouette against the blind."
"35",1661,"he was pacing the room swiftly, eagerly, with his head sunk upon his chest and his hands clasped behind him."
"36",1661,"to me, who knew his every mood and habit, his attitude and manner told their own story."
"37",1661,"he was at work again."
"38",1661,"he had risen out of his drug-created dreams and was hot upon the scent of some new problem."
"39",1661,"i rang the bell and was shown up to the chamber which had formerly been in part my own."
"40",1661,"his manner was not effusive."
"41",1661,"it seldom was; but he was glad, i think, to see me."
"42",1661,"with hardly a word spoken, but with a kindly eye, he waved me to an armchair, threw across his case of cigars, and indicated a spirit case and a gasogene in the corner."
"43",1661,"then he stood before the fire and looked me over in his singular introspective fashion."
"44",1661,"""wedlock suits you,"" he remarked."
"45",1661,"""i think, watson, that you have put on seven and a half pounds since i saw you."""
"46",1661,"""seven!"""
"47",1661,"i answered."
"48",1661,"""indeed, i should have thought a little more."
"49",1661,"just a trifle more, i fancy, watson."
"50",1661,"and in practice again, i observe."
"51",1661,"you did not tell me that you intended to go into harness."""
"52",1661,"""then, how do you know?"""
