,Periodo,Tipo,Valor
1,Enero,"Agua, riego y saneamiento",1527733
2,Febrero,"Agua, riego y saneamiento",1518386
3,Marzo,"Agua, riego y saneamiento",1523197
4,Abril,"Agua, riego y saneamiento",1217787
5,Mayo,"Agua, riego y saneamiento",1243462
6,Junio,"Agua, riego y saneamiento",1369846
7,Julio,"Agua, riego y saneamiento",1395501
8,Agosto,"Agua, riego y saneamiento",1258365
9,Septiembre,"Agua, riego y saneamiento",1529259
10,Octubre,"Agua, riego y saneamiento",1632671
11,Noviembre,"Agua, riego y saneamiento",1631035
12,Diciembre,"Agua, riego y saneamiento",1488642
13,Enero,"Agua, riego y saneamiento",1314745
14,Febrero,"Agua, riego y saneamiento",949590
15,Marzo,"Agua, riego y saneamiento",1108311
16,Abril,"Agua, riego y saneamiento",1060835
17,Mayo,"Agua, riego y saneamiento",868901
18,Junio,"Agua, riego y saneamiento",1099793
19,Julio,"Agua, riego y saneamiento",1118259
20,Agosto,"Agua, riego y saneamiento",1175103
21,Septiembre,"Agua, riego y saneamiento",1108336
22,Octubre,"Agua, riego y saneamiento",1167460
23,Noviembre,"Agua, riego y saneamiento",1369448
24,Diciembre,"Agua, riego y saneamiento",1575289
25,Enero,"Agua, riego y saneamiento",1421339
26,Febrero,"Agua, riego y saneamiento",1328411
27,Marzo,"Agua, riego y saneamiento",1319660
28,Abril,"Agua, riego y saneamiento",1348155
29,Mayo,"Agua, riego y saneamiento",1249243
30,Junio,"Agua, riego y saneamiento",1402504
31,Julio,"Agua, riego y saneamiento",1395845
32,Agosto,"Agua, riego y saneamiento",1434516
33,Septiembre,"Agua, riego y saneamiento",1260578
34,Octubre,"Agua, riego y saneamiento",1275563
35,Noviembre,"Agua, riego y saneamiento",1245268
36,Diciembre,"Agua, riego y saneamiento",1361785
37,Enero,"Agua, riego y saneamiento",1334472
38,Febrero,"Agua, riego y saneamiento",1335720
39,Marzo,"Agua, riego y saneamiento",1323236
40,Abril,"Agua, riego y saneamiento",1558057
41,Mayo,"Agua, riego y saneamiento",1587329
42,Junio,"Agua, riego y saneamiento",1462824
43,Julio,"Agua, riego y saneamiento",1519326
44,Agosto,"Agua, riego y saneamiento",1318789
45,Septiembre,"Agua, riego y saneamiento",1466513
46,Octubre,"Agua, riego y saneamiento",1568429
47,Noviembre,"Agua, riego y saneamiento",1499166
48,Diciembre,"Agua, riego y saneamiento",1577757
