,Tipo,Valor
1,,1527635.471
2,,1641368.682
3,,1586872.083
4,,1375558.618
5,,2045942.013
6,,1487193.255
7,,1876696.66
8,,1706576.992
9,,1477572.211
10,,1487148.081
11,,886582.8381
12,,1333786.178
13,,1555789.923
14,,1853134.779
15,,1892000.843
16,,1385531.817
17,,1369919.251
18,,1458338.653
19,,1898675.561
20,,1688034.395
21,,2083279.612
22,,1903411.688
23,,1914902.465
24,,1111749.672
25,,1291562.776
26,,1778852.646
27,,1678229.175
28,,1813289.714
29,,1183198.738
30,,1013628.103
31,,1045980.755
32,,1528032.809
33,,2363286.623
34,,1345234.973
35,,2128524.333
36,,1096516.469
37,,1631202.937
38,,1616377.205
39,,2043635.796
40,,1732773.449
41,,1506502.045
42,,1798017.653
43,,1798639.617
44,,1429265.146
45,,1673357.962
46,,1460377.601
47,,1622011.283
48,,2116752.414
49,,2164462.697
50,,1158996.565
51,,1538944.684
52,,1735479.866
53,,1368913.343
54,,1606353.342
55,,1165033.275
56,,1580155.354
57,,2087844.621
58,,2151177.954
59,,1640675.025
60,,1524891.759
61,,1656274.59
62,,1252930.828
63,,1509099.445
64,,1400283.856
65,,1904601.24
66,,1095576.699
67,,1758189.779
68,,1966766.227
69,,2002477.097
70,,1701186.632
71,,1641953.906
72,,1708882.939
73,,1736144.764
74,,1562732.265
75,,1131698.798
76,,1361020.039
77,,1665545.77
78,,1329810.647
79,,1203489.424
80,,2016976.612
81,,1030081.065
82,,1796442.431
83,,1560852.543
84,,1860226.211
85,,1556569.631
86,,1765385.42
87,,1398031.068
88,,1777794.236
89,,1883723.323
90,,1826998.2
91,,1609678.239
92,,1312823.64
93,,1267153.295
94,,1783463.316
95,,1860952.055
96,,1331600.749
97,,1697329.867
98,,2142222.257
99,,1936882.348
100,,1472735.677
101,,1940455.601
102,,1832043.44
103,,1800617.581
104,,1951117.811
105,,1260868.442
106,,1374291.941
107,,1726383.845
108,,1740348.267
109,,1366642.906
110,,1882634.532
111,,1956947.554
112,,1215606.235
113,,1755856.071
114,,2314717.073
115,,1908313.574
116,,1967497.503
117,,1441805.807
118,,1442553.401
119,,1610001.117
120,,2010717.323
121,,1688133.634
122,,1595945.873
123,,1989947.428
124,,1646934.878
125,,1345736.494
126,,2024606.844
127,,1310325.95
128,,2325574.446
129,,1490266.849
130,,2154840.93
131,,1565736.279
132,,1830985.338
133,,1437481.228
134,,1455242.466
135,,1343347.873
136,,1507332.08
137,,1799930.136
138,,1611216.676
139,,1751342.668
140,,2081416.654
141,,2071755.66
142,,1672035.685
143,,1508901.058
144,,1536949.648
145,,1503253.479
146,,1191069.213
147,,1544383.132
148,,1946715.764
149,,1166740.641
150,,1909523.452
151,,1549673.695
152,,1940659.133
153,,2064950.552
154,,1492257.014
155,,1504960.066
156,,1666770.341
157,,1370655.214
158,,1491626.891
159,,1587812.599
160,,1605784.446
161,,1608481.794
162,,1945398.977
163,,1494653.478
164,,1504670.448
165,,1531835.712
166,,1538955.9
167,,1494548.708
168,,1700256.059
169,,1451910.868
170,,1415227.263
171,,1852248.874
172,,1314161.799
173,,1640697.942
174,,1671599.759
