Periodo,Total,Edific,Agua_R_S,Elect_C,Transp,Petr_p,Otras_C
Enero,23649637,11562266,1527733,1062658,5237209,2698498,1561273
Febrero,23186956,11513255,1518386,808459,4901882,2931457,1513517
Marzo,24938725,12785161,1523197,968417,5141261,2867869,1652820
Abril,24333631,12457720,1217787,1225910,4998571,2777449,1656194
Mayo,25601493,12966813,1243462,1021187,5840352,2841985,1687694
Junio,26944203,13309508,1369846,1008691,5897726,3451787,1906645
Julio,28193265,14437007,1395501,1200740,5464676,3666608,2028733
Agosto,28468534,14844516,1258365,1135907,5640930,3521256,2067560
Septiembre,28636268,14878393,1529259,980800,5370944,3674979,2201893
Octubre,28920967,14359928,1632671,1325737,6242897,2967247,2392487
Noviembre,29644312,14455312,1631035,1186601,6419277,3155549,2796538
Diciembre,31924106,15636915,1488642,1126174,6924128,3874220,2874027
Enero,27801512,13848554,1314745,1011836,6078270,3554327,1993780
Febrero,27019544,13948606,949590,955818,6012856,3197691,1954983
Marzo,27850657,14823721,1108311,978194,5755900,3342290,1842241
Abril,27130239,14123628,1060835,1240009,5534517,3212026,1959224
Mayo,27170113,14310352,868901,803447,6140640,3184372,1862401
Junio,27499497,13932531,1099793,769529,6444432,3106922,2146290
Julio,28558396,15540544,1118259,935931,6216691,2770801,1976170
Agosto,28962816,15420350,1175103,1004287,6419453,2769076,2174547
Septiembre,29637700,15935177,1108336,1006646,6443462,3128755,2015324
Octubre,30545109,15992998,1167460,1034116,6661555,3501316,2187664
Noviembre,30767889,16059965,1369448,943645,6758950,3470695,2165186
Diciembre,33047617,17479741,1575289,1235175,7378095,3133734,2245583
Enero,29254903,14944309,1421339,1024245,6920709,2718892,2225409
Febrero,28752203,15574117,1328411,1048393,6427069,2466005,1908208
Marzo,28216836,15057415,1319660,1130165,6335887,2642137,1731572
Abril,30076056,16121945,1348155,1370715,6582083,2823979,1829179
Mayo,30091788,16677821,1249243,1033279,6958546,2444124,1728775
Junio,31633794,16394239,1402504,1468232,7437497,2848476,2082846
Julio,32870007,17986447,1395845,1306619,7829512,2465501,1886083
Agosto,31279868,16258868,1434516,1157891,7911107,2409342,2108144
Septiembre,31493525,16279064,1260578,1184870,7972909,2562742,2233362
Octubre,33273477,16965161,1275563,1381576,7936941,2992592,2721644
Noviembre,32508666,16499730,1245268,1336013,8288096,2769629,2369930
Diciembre,35227975,17495712,1361785,1824919,8815419,2999447,2730693
Enero,29415629,14096513,1334472,1430815,7990291,2592781,1970757
Febrero,28884791,13321824,1335720,1344814,8559536,2780898,1541999
