,Tipo,Valor
1,,2698498
2,,2931457
3,,2867869
4,,2777449
5,,2841985
6,,3451787
7,,3666608
8,,3521256
9,,3674979
10,,2967247
11,,3155549
12,,3874220
13,,3554327
14,,3197691
15,,3342290
16,,3212026
17,,3184372
18,,3106922
19,,2770801
20,,2769076
21,,3128755
22,,3501316
23,,3470695
24,,3133734
25,,2718892
26,,2466005
27,,2642137
28,,2823979
29,,2444124
30,,2848476
31,,2465501
32,,2409342
33,,2562742
34,,2992592
35,,2769629
36,,2999447
37,,2592781
38,,2780898
39,,2818952
40,,3051518
41,,3019504
42,,3012702
43,,2464540
44,,2901556
45,,2861773
46,,3420955
47,,3326169
48,,2963874
49,,2661273
50,,2523035
51,,2844546
52,,2645355
53,,2871040
54,,2998657
55,,3424255
56,,3215580
57,,3649601
58,,3842299
59,,4264014
60,,3947989
61,,3097573
62,,2206010
63,,2589472
64,,2455602
65,,2854497
66,,3058784
67,,3110817
68,,3116725
69,,3610754
70,,3706017
71,,4167351
72,,4274955
73,,3298692
74,,2591744
75,,3395997
76,,3187502
77,,3657454
78,,3559112
79,,4073089
80,,3980091
81,,4316577
82,,4360104
83,,4686062
84,,4576720
85,,3435766
86,,3031910
87,,3448857
88,,3398038
89,,3770836
90,,3896757
91,,4362731
92,,3306508
93,,3267276
94,,3617386
95,,4059931
96,,4014026
97,,2954214
98,,2561046
99,,2684227
100,,3125409
101,,3391363
102,,3045422
103,,3662851
104,,3478260
105,,3303940
106,,3650747
107,,4055972
108,,4080317
109,,4097260
110,,4200136
111,,4286609
112,,4213445
113,,4058178
114,,4489077
115,,5128823
116,,4814590
117,,5169290
118,,4938696
119,,5182294
120,,6061249
121,,4524417
122,,3895497
123,,3671829
124,,2751584
125,,3288131
126,,3235269
127,,3047008
128,,2964303
129,,3087035
130,,3068234
131,,2877359
132,,2721616
133,,2273710
134,,2246885
135,,1786886
136,,1717099
137,,1758597
138,,1827472
139,,2181329
140,,2070538
141,,1927619
142,,2131496
143,,2445304
144,,2771969
145,,1812609
146,,1903513
147,,2002639
148,,2122566
149,,1974090
150,,1909417
151,,1995810
152,,1934047
153,,2359926
154,,2599892
155,,2870085
156,,2782815
157,,2422106
158,,2700614
159,,2586722
160,,2609016
161,,2783724
162,,2744961
163,,2750877
164,,3002415
165,,2655601
166,,2422389
167,,2381443
168,,2469391
169,,2265532
170,,2539702
171,,2452191
172,,2360115
173,,2155639
174,,2313951
